label,https://w3id.org/semanticarts/ns/ontology/gist/isRecordedAt,https://www.michaeldebellis.com/climate_obstruction/reporter_info,https://www.michaeldebellis.com/climate_obstruction/status,https://www.michaeldebellis.com/climate_obstruction/case_categories,https://www.michaeldebellis.com/climate_obstruction/jurisdictions,https://www.michaeldebellis.com/climate_obstruction/principal_laws,https://www.michaeldebellis.com/climate_obstruction/summary,https://www.michaeldebellis.com/climate_obstruction/at_issue,https://www.michaeldebellis.com/climate_obstruction/case_documents,https://www.michaeldebellis.com/climate_obstruction/url
In re Federal Climate Protection Act Austria,2023,,Decided,"Suits against governments, Human Rights, Other","Austria, Constitutional Court","Austria, Comprehensive Environmental Protection, Austria, Water and Food Security as well as Research, Austria, Basic Law on the General Rights of Nationals, Austria, Federal Constitutional Act on Sustainability, Austria, Animal Protection, Austria, Climate Protection Act of 2011, Austria, Constitution, International Law, European Convention on Human Rights","In 2023, the applicant filed a complaint with the Austrian Constitutional Court and alleged that Art 3 of the Federal Climate Protection Act (Klimaschutzgesetz) was unconstitutional for not ensuring Austria’s compliance with international and European greenhouse gas reduction obligations, thereby violating fundamental rights.
The Federal Climate Protection Act was adopted in 2011 to implement emission reduction obligations under international and European Law. According to Art 3 para 1 of the Act, the maximum permissible GHG emissions shall be defined in the annexes to the Act and distributed among sectors. The annexes accordingly provide for maximum GHG emissions for 2008-2012 and 2013-2020; the Act does not stipulate any emission reduction targets after 2020. In addition, Art 3 para 2 Federal Climate Protection Act provides a (mere) negotiation obligation regarding measures that ensure compliance with maximum GHG emissions. Also, the Act does not contain a sanction mechanism.",Whether Art 3 of the Federal Climate Protection Act violates fundamental rights by failing to ensure compliance with international and European greenhouse gas reduction targets.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230627_19870_decision.pdf,https://climatecasechart.com/non-us-case/in-re-federal-climate-protection-act-austria
Communication to Thailand on forced evictions for climate mitigation measures,2022,AL THA 3/2022,Pending,"Suits against governments, Just transition","United Nations, UN Special Procedures, United Nations Special Rapporteurs","International Law, ICESCR (International Covenant on Economic, Social and Cultural Rights), International Law, UN Basic Principles and Guidelines on Development-Based Evictions and Displacement, International Law, UN Declaration on the Rights of Peasants and Other People Working in Rural Areas","On December 1, 2022, eight UN Special Procedures on the right to adequate housing, climate change, environment, food, human rights defenders, minority issues, extreme poverty, and contemporary forms of racism, jointly issued a communication to Thailand expressing their deep concern about the (threat of) forced eviction of 14 Isan minority members (9 women, 5 men), who are also land-right defenders, from their lands and homes in the Sab Wai village. The eviction orders were issued in pursuit of climate mitigation action under forest conservation policies and legislation, without provision of alternative accommodation and productive land, nor adequate compensation.
According to information received, Thailand’s updated nationally determined contribution (NDC) set aims to reduce GHGs by 20% compared to ‘business as usual by 2030, when compared to 2005 as the baseline year, and to achieve carbon (CO2) neutrality by 2050, and net-zero by 2065. A key strategy for meeting these objectives is to enhance forestry carbon sinks, including by reforestation, and improved conservation. The Thai government has adopted a 20-Year National Strategy, aiming to increase the country’s forested area to 55 percent of the total Thai territory by 2037 and adopted a Forest Reclamation Policy of 2014.
A key complaint is that the chosen strategy for meeting NDC targets negatively impacts, and even criminalizes forest-dependent communities, including minority and indigenous peoples and small-scale farmers and those having traditionally lived in or near national parks. An important concern is that the policies criminalize any person or entity which ‘destroys’ protected forests, which could include those who traditionally live and farm in protected area.  Those concerned call the strategy a ‘false solution’ to the climate crisis, for it moves attention away from necessary energy sector reforms. Moreover, despite earlier commitments that the Forest Reclamation Policy would primarily target large-scale investors and developers, and ‘protect the poor, landless and those who had settled in an area before it was declared as protected’, the actual implementation of the forestry policy is problematic.
Based on the forestry laws and policies, 14 Isan minority community members of the Sab Wai village in Chaiyaphum Province, central northeastern Thailand, are threatened by forced eviction from the lands they lived and farmed on since the 1970s, as they were identified as ‘forest destroyers’ under the current legislation. Their village is located in Sai Thong National Park, which was established in their living area in 1992.
According to the UN Special Procedures, the evictions constitute violations of international human rights law, since the villagers are not provided with alternative accommodation or productive land, nor adequate compensation. Actions to mitigate adverse effects of climate change must take into account negative impacts on the human rights of forest dependent communities, including especially their right to adequate standard of living, including food and housing. This is closely tied to communities’ right to land as well. The UN Special Procedures reaffirm forest-dependent minorities and communities’ ‘right to land, including the right to have access to, sustainably use and manage land and forests’. They ask how the Thai government intends to protect this right through measures aimed at legal recognition of ‘land tenure rights, including customary land tenure rights not currently protected by law’.
The communication is based on Article 11 of the International Covenant on Economic Social and Cultural Rights (ICESCR), as further interpreted through CESCR General Comment No. 4 on the Right to Adequate Housing, CESCR General Comment No. 7 on forced evictions, and the UN Basic Principles and Guidelines on Development-Based Evictions and Displacement. The latter clarifies, amongst others, that ‘evictions can only take place in 'exceptional circumstances'; that they must be authorized by law, and ensure full and fair compensation and rehabilitation’. The communication also outlines how ‘eviction-impact assessments’ should be carried out to explore alternatives and minimization of harm that may result from an inevitable eviction. The UN Declaration on the Rights of Peasants and Other People Working in Rural Areas was also cited, in recognition that ‘peasants and other people working in rural areas have the right to contribute to the design and implementation of national and local climate change adaptation and mitigation policies’.
Case specific observations on possible human rights violations and requests for further information, highlight that the Thai government’s forestry and environment-related laws and regulations, and their implementation, have discriminatory effects on specific ethnic groups and indigenous peoples, and that the Isan group more generally is subject to ‘direct and indirect, multiple and intersecting forms of discrimination’. They also ask how forest-dependent communities were consulted or participated in ‘the design, implementation, monitoring and evaluation of mitigation measures affecting them’, and what the outcomes of ‘human rights impact assessments of climate change mitigation measures’ have been. Specifically, consultation with the Isan minority villagers from the Sab Wai village should explore ‘feasible alternatives to the evictions, including the possibility to remain in situ or the provision of alternative land and housing and adequate compensation, and the outcome of these consultations’.
The Permanent Mission of Thailand in Geneva acknowledged receipt of the communication, but no formal response on behalf of the Thai government is registered in the communications repository to date.","Thailand’s large-scale (re)forestation strategy to achieve GHG emission targets threatens the human rights of 14 forest-dependent Isan minority members in Sab Wai village, who are also land-right defenders",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221201_AL-THA-32022_na.pdf,https://climatecasechart.com/non-us-case/thailands-large-scale-reforestation-strategy-to-achieve-ghg-emission-targets-threatens-the-human-rights-of-14-forest-dependent-isan-minority-members-in-sab-wai-village-who-are-also-land-ri
Smith v. Attorney-General,2022,[2022] NZHC 1693,Decided,"Suits against governments, GHG emissions reduction and trading, Other, Suits against governments, Human Rights, Indigenous Groups","New Zealand, High Court of New Zealand, New Zealand, Court of Appeal","New Zealand, Bill of Rights Act 1990, New Zealand, Common law, New Zealand, Treaty of Waitangi","In March 2022, the plaintiff, a Māori elder, landowner, and tribal climate spokesperson, brought a claim against New Zealand’s government, alleging “inadequate action in relation to climate change”. He argued that the successive New Zealand governments had failed to adequately address the effects of climate change on New Zealand and its citizens, especially Māori. Specifically, the plaintiff argued that the government had failed to incorporate international obligations into domestic law, and to reduce the carbon emissions produced by government activities. Furthermore, although the government had introduced an emissions trading scheme, the plaintiff argued that the overall emissions cap was set too high and contained unjustifiable exemptions.","Whether New Zealand’s climate law framework violated common law duties, statutory rights, or te Tiriti o Waitangi | the Treaty of Waitangi.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20241219_2022-NZHC-1693_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20241219_2022-NZHC-1693_decision.pdf",https://climatecasechart.com/non-us-case/smith-v-attorney-general
Greenpeace Netherlands and 8 citizens of Bonaire v. The Netherlands,2024,,Pending,,"Netherlands, District Court North-Holland","International Law, Aarhus Convention on Access to Environmental Information, Netherlands, Civil Code, International Law, European Convention on Human Rights, International Law, International Covenant on Civil and Political Rights","On January 11, 2024, Greenpeace Netherlands and eight Dutch citizens of the island of Bonaire sued the Dutch State about the lack of climate adaptation and mitigation action. The plaintiffs argue that the Dutch State has not taken sufficient climate adaptation and mitigation measures to protect the people of Bonaire, a small Dutch island in the Caribbean near Venezuela, against the negative effects of climate change on human rights, in line with the 1,5⁰C goal of the Paris Agreement and human rights treaties. The complaint was launched after plaintiffs issued a warning letter in 2023, demanding to meet with Ministries in The Hague to have talks about better climate adaptation policy and action for the island, as well as more resources devoted to adaptation.",Whether the Netherlands is legally obliged to take more stringent climate mitigation and adaptation action to protect inhabitants of the Dutch Island of Bonaire.,No case documents are available.,https://climatecasechart.com/non-us-case/greenpeace-netherlands-and-8-citizens-of-bonaire-v-the-netherlands
Opinion of the National Human Rights Commission on the climate crisis and human rights,2023,,Decided,"Suits against governments, Human Rights, Right to a healthy environment","South Korea, National Human Right Commission","South Korea, Constitution","In 2020, forty one South Koreans, including farmers, fishermen, coastal residents, and youth filed a complaint with the National Human Rights Commission (NHRC) alleging that their human rights, including the right to life and the right to health, were violated by the climate crisis. The NHRC dismissed the petition, but later commissioned an investigation on the impact of climate change on human rights in July 2021 on its own. In January 2023, the NHRC, for the first time, issued its opinion on the climate crisis and human rights addressed to the President and the Government.","Whether the government's measures to the climate crisis, including GHG reduction targets, sufficiently protects human rights.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230101_19555_opinion.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230101_19555_opinion-1.pdf",https://climatecasechart.com/non-us-case/opinion-of-the-national-human-rights-commission-on-the-climate-crisis-and-human-rights
Commune de Grande-Synthe v. France,2019,Not Yet Available,Decided,"Suits against governments, Human Rights, Other, Suits against governments, GHG emissions reduction and trading, Other","France, Council of State","International Law, UNFCCC, Paris Agreement, International Law, European Convention on Human Rights, France, French Environmental Code, France, French Environmental Charter","By three letters dated November 19, 2018, the municipality of Grande-Synthe and its mayor asked the President of the Republic, the Prime Minister, the Minister of State, and the Minister of Ecological Transition and Solidarity to (i) take any useful measure to bend the curve of greenhouse gas (GHG) emissions produced on the national territory to respect the obligations agreed by France; (ii) take all legislative or regulatory initiatives to ""make climate priority mandatory"" and to prohibit any measure likely to increase GHG emissions, and (iii) implement immediate measures to adapt to climate change in France. They did not receive any answer from the public authorities.",Whether the French government’s failure to take further action to reduce greenhouse gas emissions violates domestic and international law,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190123_Not-Yet-Available_press-release.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190123_Not-Yet-Available_press-release-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201109_Not-Yet-Available_opinion-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201119_Not-Yet-Available_decision-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201119_Not-Yet-Available_decision-3.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210701_Not-Yet-Available_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230510_Not-Yet-Available_decision.pdf",https://climatecasechart.com/non-us-case/commune-de-grande-synthe-v-france
"Nature Conservation Council v. New South Wales (NSW) Nature Conservation Council of NSW v Minister for Water, Property and Housing",2021,2021/00282599,Pending,"Suits against governments, Human Rights, Youth/Children, Suits against governments, Environmental assessment and permitting, Other projects","Australia, New South Wales, Land and Environment Court","Australia, Water Management Act 2000","In October 2021, the Nature Conservation Council (NCC) of New South Wales (NSW) filed a case against the NSW Water Minister and NSW Environment Minister to challenge the validity of the Border Rivers Water Sharing Plan.  The plaintiffs have asked the court to invalidate the Border Rivers Water Sharing Plan in the Murray-Darling Basin on the grounds that decision-makers have failed to properly consider climate change, thereby breaching the Water Management Act 2000.  This includes a failure by the Ministers to factor in the impact of the most recent drought in Australia on the Basin.  The plaintiffs rely on the rights of children and future generations to enjoy and benefit from healthy, functioning river systems.",Whether NSW Government Ministers are required to properly consider climate change when drawing up water sharing plans and whether this requirement was met in relation to the Border Rivers Water Sharing Plan.,No case documents are available.,https://climatecasechart.com/non-us-case/nature-conservation-council-v-new-south-wales-nsw-nature-conservation-council-of-nsw-v-minister-for-water-property-and-housing
Greenpeace Nordic and Others v. Norway,2021,Application no. 34068/21,Pending,"Suits against governments, Environmental assessment and permitting, Natural resource extraction, Suits against governments, Human Rights, Other","International Courts & Tribunals, European Court of Human Rights","International Law, European Convention on Human Rights","After having exhausted all nation remedies available, with the final decision from the Norwegian Supreme Court issued on December 22, 2020, two NGOs (Greenpeace Nordic and Young Friends of the Earth (Nature and Youth)) and six individuals, filed an application before the European Court of Human Rights against the Norwegian government. For a summary of the case in Norway, see here.",Whether Norway has violated the fundamental rights of Norwegian citizens through the adoption of the decision to license new blocks of Barents Sea for development of deep-sea oil and gas extraction and through the failure to take the necessary measure to address the risk of the climate crisis.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210615_Application-no.-3406821_petition-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220110_Application-no.-3406821_na-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220426_Application-no.-3406821_petition-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220629_Application-no.-3406821_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220530_Application-no.-3406821_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220503_Application-no.-3406821_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220520_Application-no.-3406821_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220504_Application-no.-3406821_na.pdf",https://climatecasechart.com/non-us-case/greenpeace-nordic-assn-v-ministry-of-petroleum-and-energy-ecthr
Wayúu Indigenous community and others v. Ministry of Environment and others,2019,11001-0324-000-2019-00107-00,Pending,"Suits against governments, Human Rights, Other, Suits against corporations, individuals, Corporations, Environmental assessment and permitting","Colombia, Council of State, Administrative Tribunals","Colombia, Law 99 of 1993, Colombia, Constitution","On February 22, 2019, the Wayúu Indigenous community of Northern Colombia and other individuals filed a lawsuit seeking the annulment of the environmental license (among other resolutions) that authorized the Cerrejón Zona Norte Coal Mining Project in La Guajira region since 1983. Plaintiffs claim that the environmental licensing process failed to comply with environmental provisions and principles, violating the rights of the Wayúu community and the general population to a healthy environment, human health, and free, prior and informed consent. Among petitioners’ requests is a study of all water bodies that are being affected by the mine operations including the costs in terms of ecosystem preservation and the health of the vulnerable communities.","Whether the environmental license of Cerrejón Zona Norte Coal Mining Project violates environmental provisions and human rights to FPIC, health and a healthy environment due to its effects on climate change and GHG emissions.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190222_11001-0324-000-2019-00107-00_petition.pdf,https://climatecasechart.com/non-us-case/wayuu-indigenous-community-and-others-v-ministry-of-environment-and-others
Shrestha v. Office of the Prime Minister et al.,2017,074-WO-0283,Decided,"Suits against governments, GHG emissions reduction and trading, Other, Suits against governments, Human Rights, Right to a healthy environment",,"International Law, UNFCCC, Paris Agreement, Nepal, Constitution","On August 23, 2017 Padam Bahadur Shrestha filed an application to compel the government of Nepal to enact a new climate change law. When the authorities failed to respond, Shrestha petitioned the Supreme Court of Nepal to issue a writ of mandamus or other appropriate order to enact such a law. According to the petition, the Environmental Protection Act of 1997 was inadequate because it did not address climate change, the Climate Change Policy of 2011 had not been implemented, and as a result, the humans and ecosystems of Nepal had experienced grave climate impacts. Shrestha alleged that the government’s failure to adequately address climate had violated the rights to a dignified life and a healthy environment guaranteed in the Constitution of Nepal, and violated Nepal’s commitments under the UNFCCC and the Paris Agreement. The existential threat created by climate change impaired his constitutional rights to (i) live with dignity, (ii) live in a healthy and clean environment, (iii) access basic healthcare services, and (iv) food and protection from starvation. The petitioner further argued that a specific climate change law was needed as the Environment Protection Act made no provision for climate change mitigation and adaptation. He contended that the gap must be rectified immediately.",Seeking an order to compel the government of Nepal to enact an adequate climate change law,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181225_074-WO-0283_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181225_074-WO-0283_judgment-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20191018_074-WO-0283_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20191014_074-WO-0283_na.pdf",https://climatecasechart.com/non-us-case/shrestha-v-office-of-the-prime-minister-et-al
